time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1365033600000,2013-04-04,-26.32113189810825,77.5808884720648,1415.18359375,3.0,57.0,173.0,1365033600000
1365465600000,2013-04-09,-26.32113189810825,77.5808884720648,1401.579833984375,5.0,44.0,169.0,1364774400000
1365465600000,2013-04-09,-26.32113189810825,77.5808884720648,1413.8819580078125,5.0,55.0,168.0,1365465600000
1369440000000,2013-05-25,-26.32113189810825,77.5808884720648,1411.6898193359375,4.0,50.0,170.0,1369440000000
1371686400000,2013-06-20,-26.32113189810825,77.5808884720648,1414.123046875,5.0,58.0,167.0,1371686400000
1397520000000,2014-04-15,-26.32113189810825,77.5808884720648,1413.992431640625,6.0,54.0,166.0,1397520000000
1425945600000,2015-03-10,-26.32113189810825,77.5808884720648,1401.496337890625,5.0,50.0,169.0,1426204800000
1425945600000,2015-03-10,-26.32113189810825,77.5808884720648,1414.8519287109375,6.0,49.0,167.0,1425945600000
1426204800000,2015-03-13,-26.32113189810825,77.5808884720648,1417.46630859375,5.0,44.0,169.0,1426204800000
1430179200000,2015-04-28,-26.32113189810825,77.5808884720648,1424.363037109375,6.0,56.0,164.0,1430697600000
1461715200000,2016-04-27,-26.32113189810825,77.5808884720648,1418.19482421875,5.0,52.0,168.0,1461715200000
1461801600000,2016-04-28,-26.32113189810825,77.5808884720648,1408.271240234375,5.0,54.0,166.0,1461801600000
1490745600000,2017-03-29,-26.32113189810825,77.5808884720648,1412.557861328125,6.0,41.0,169.0,1490745600000
